tis1099_district_code,parent_province_tis1099_code,name_en,name_th,centroid_lat,centroid_lon,area_km2,bbox_minlat,bbox_minlon,bbox_maxlat,bbox_maxlon,num_tambon,postal_code_prefixes,notes
9006,90,Saba Yoi,สะบ้าย้อย,6.53098,100.9144,906.4,6.30042,100.74023,6.70799,101.10362,9,9021,
9007,90,Ranot,ระโนด,7.79187,100.29278,456.4,7.61411,100.1775,7.9318,100.40794,12,9014,
9008,90,Krasae Sin,กระแสสินธุ์,7.61337,100.29622,297.9,7.49656,100.22006,7.71761,100.36797,4,9027,
9009,90,Rattaphum,รัตภูมิ,7.07299,100.19079,662.6,6.89576,100.05722,7.23135,100.33203,5,9018,
9010,90,Sadao,สะเดา,6.67245,100.43141,997.8,6.47233,100.19162,6.84182,100.6082,9,9012|9017|9024|9032,
9011,90,Hat Yai,หาดใหญ่,6.97091,100.42863,807.9,6.78742,100.19413,7.18704,100.60045,13,9011|9023|9025,
9012,90,Na Mom,นาหม่อม,6.95412,100.57144,132.4,6.87509,100.52162,7.02507,100.63037,4,9031,
9013,90,Khuan Niang,ควนเนียง,7.18414,100.38096,247.9,7.08785,100.31673,7.30139,100.46221,4,9022,
9014,90,Bang Klam,บางกล่ำ,7.07536,100.41178,161.2,7.01666,100.30296,7.18704,100.4817,4,9011,
9015,90,Singhanakhon,สิงหนคร,7.27956,100.47631,242.0,7.18704,100.40607,7.37629,100.57542,11,9028|9033,
9016,90,Khlong Hoi Khong,คลองหอยโข่ง,6.85439,100.34097,317.7,6.78291,100.2059,6.93974,100.45025,4,9011|9023,
9101,91,Mueang Satun,เมืองสตูล,6.63359,99.97111,774.6,6.42272,99.59564,6.80533,100.18296,12,9100|9114,
9102,91,Khuan Don,ควนโดน,6.76315,100.12001,207.9,6.68311,99.99778,6.82061,100.20442,4,9116,
9103,91,Khuan Kalong,ควนกาหลง,6.91571,100.0505,544.9,6.80894,99.86516,7.10758,100.21071,3,9113,
9104,91,Tha Phae,ท่าแพ,6.80722,99.92112,189.8,6.72415,99.84009,6.88075,100.00692,4,9115,
9105,91,La-Ngu,ละงู,6.91669,99.80072,387.2,6.77901,99.68804,7.07945,99.89217,6,9111,
9106,91,Thung Wa,ทุ่งหว้า,7.08306,99.83002,464.8,6.95724,99.6699,7.2037,100.02823,5,9112,
9107,91,Manang,มะนัง,7.01137,99.93196,201.1,6.91172,99.86516,7.10119,99.99217,2,9113,
9201,92,Mueang Trang,เมืองตรัง,7.60885,99.61721,442.9,7.46565,99.46279,7.71849,99.81112,15,9200|9217|9219,
9202,92,Kantang,กันตัง,7.41434,99.48788,584.1,7.28753,99.34874,7.54308,99.61273,14,9211,
9203,92,Yan Ta Khao,ย่านตาขาว,7.42474,99.73958,438.9,7.33703,99.58071,7.51887,99.90384,8,9214,
